LED Item ,M365L2-C1,,,M365LP1-C1,,,M385L2-C1,,,M385LP1-C1,,,M405L3-C1,,,M405LP1-C1,,,M455L3-C1,,,M470L3-C1,,,M505L3-C1,,,M530L3-C1,,,M590L3-C1,,,M617L3-C1,,,M625L3-C1,,,M660L4-C1,,,M730L4-C1,,,M780L3-C1,,,M810L3-C1,,,M850L3-C1,,,M940L3-C1,,,MCWHL5-C1,
Approximate Total Beam Power with Collimation Adapter for Olympus BX and IX Microscopes (mW),120,,,505,,,170,,,795,,,665,,,750,,,500,,,350,,,210,,,170,,,80,,,320,,,380,,,590,,,240,,,210,,,245,,,480,,,430,,,440,
Scaling Constant,1.23E+01,,,3.76E+01,,,1.35E+01,,,5.92E+01,,,2.90E+01,,,4.58E+01,,,2.08E+01,,,1.66E+01,,,5.49E+00,,,4.09E+00,,,5.38E+00,,,1.74E+01,,,1.98E+01,,,2.31E+01,,,5.82E+00,,,5.61E+00,,,6.73E+00,,,1.39E+01,,,5.87E+00,,,8.26E+00,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,319.97596,2.89E-03,,201.5876391,3.24E-02,,319.97596,0.00E+00,,201.5876391,0.00E+00,,201.65975,0.00E+00,,201.5876391,0.00E+00,,321.01784,1.76E-04,,195.73,-8.68E-03,,319.97596,5.24E-03,,195.73,-4.76E-03,,195.73,7.75E-03,,321.01784,1.33E-04,,321.01784,0.00E+00,,201.58764,0.00E+00,,201.5876391,0.00E+00,,499.78705,1.24E-02,,201.5876391,0.00E+00,,498.29324,0.00E+00,,499.78705,2.20E-02,,201.58764,0.00E+00
,320.09028,0.00E+00,,201.7892459,-1.73E-02,,320.09028,0.00E+00,,201.7892459,0.00E+00,,201.8626,0.00E+00,,201.7892459,0.00E+00,,321.12658,1.65E-04,,195.93,1.15E-02,,320.09028,8.39E-03,,195.93,-2.75E-04,,195.93,-1.46E-02,,321.12658,1.29E-04,,321.12658,0.00E+00,,201.78925,0.00E+00,,201.7892459,0.00E+00,,499.94065,1.04E-02,,201.7892459,0.00E+00,,498.44819,1.39E-04,,499.94065,2.32E-02,,201.78925,0.00E+00
,320.2046,0.00E+00,,201.9908715,8.61E-02,,320.2046,1.88E-03,,201.9908715,0.00E+00,,202.06546,0.00E+00,,201.9908715,0.00E+00,,321.23532,1.80E-04,,196.13,1.48E-02,,320.2046,1.97E-03,,196.13,-5.03E-03,,196.13,1.81E-03,,321.23532,1.41E-04,,321.23532,0.00E+00,,201.99087,0.00E+00,,201.9908715,0.00E+00,,500.09425,5.72E-03,,201.9908715,0.00E+00,,498.60316,9.28E-05,,500.09425,2.23E-02,,201.99087,0.00E+00
,320.31892,1.53E-02,,202.1925159,-8.91E-03,,320.31892,6.10E-03,,202.1925159,0.00E+00,,202.26835,0.00E+00,,202.1925159,0.00E+00,,321.34407,1.67E-04,,196.34,1.76E-02,,320.31892,1.09E-02,,196.34,-1.12E-02,,196.34,-9.56E-03,,321.34407,1.30E-04,,321.34407,0.00E+00,,202.19252,0.00E+00,,202.1925159,0.00E+00,,500.24787,6.00E-03,,202.1925159,0.00E+00,,498.75813,6.96E-04,,500.24787,2.38E-02,,202.19252,0.00E+00
,320.43323,8.89E-04,,202.394179,1.65E-02,,320.43323,3.76E-03,,202.394179,0.00E+00,,202.47125,0.00E+00,,202.394179,0.00E+00,,321.45283,1.60E-04,,196.54,-1.26E-02,,320.43323,7.90E-03,,196.54,1.97E-03,,196.54,1.07E-02,,321.45283,1.29E-04,,321.45283,0.00E+00,,202.39418,0.00E+00,,202.394179,0.00E+00,,500.40149,1.08E-02,,202.394179,0.00E+00,,498.91311,0.00E+00,,500.40149,2.27E-02,,202.39418,0.00E+00
,320.54754,0.00E+00,,202.5958608,-1.92E-02,,320.54754,0.00E+00,,202.5958608,0.00E+00,,202.67416,0.00E+00,,202.5958608,0.00E+00,,321.56159,1.64E-04,,196.74,9.80E-03,,320.54754,0.00E+00,,196.74,-2.52E-03,,196.74,-1.41E-02,,321.56159,1.22E-04,,321.56159,0.00E+00,,202.59586,0.00E+00,,202.5958608,0.00E+00,,500.55513,8.19E-03,,202.5958608,0.00E+00,,499.0681,4.17E-04,,500.55513,2.41E-02,,202.59586,0.00E+00
,320.66185,3.33E-03,,202.7975615,1.71E-02,,320.66185,0.00E+00,,202.7975615,0.00E+00,,202.8771,0.00E+00,,202.7975615,0.00E+00,,321.67036,1.78E-04,,196.94,-7.56E-03,,320.66185,3.69E-03,,196.94,-5.03E-03,,196.94,-1.52E-03,,321.67036,1.50E-04,,321.67036,0.00E+00,,202.79756,0.00E+00,,202.7975615,0.00E+00,,500.70877,1.22E-02,,202.7975615,0.00E+00,,499.2231,0.00E+00,,500.70877,2.25E-02,,202.79756,0.00E+00
,320.77615,0.00E+00,,202.9992808,-1.67E-02,,320.77615,4.46E-03,,202.9992808,0.00E+00,,203.08005,0.00E+00,,202.9992808,0.00E+00,,321.77913,1.90E-04,,197.15,8.68E-03,,320.77615,6.80E-03,,197.15,-1.12E-02,,197.15,-1.76E-02,,321.77913,1.62E-04,,321.77913,0.00E+00,,202.99928,0.00E+00,,202.9992808,0.00E+00,,500.86243,1.08E-02,,202.9992808,0.00E+00,,499.3781,1.39E-04,,500.86243,2.38E-02,,202.99928,0.00E+00
,320.89045,0.00E+00,,203.2010189,1.70E-03,,320.89045,0.00E+00,,203.2010189,0.00E+00,,203.28302,0.00E+00,,203.2010189,0.00E+00,,321.88791,1.94E-04,,197.35,3.67E-02,,320.89045,3.37E-03,,197.35,-3.71E-03,,197.35,-3.79E-03,,321.88791,1.78E-04,,321.88791,0.00E+00,,203.20102,0.00E+00,,203.2010189,0.00E+00,,501.01609,1.81E-02,,203.2010189,0.00E+00,,499.53311,0.00E+00,,501.01609,2.28E-02,,203.20102,0.00E+00
,321.00474,0.00E+00,,203.4027758,-2.73E-02,,321.00474,3.05E-03,,203.4027758,0.00E+00,,203.486,0.00E+00,,203.4027758,0.00E+00,,321.9967,1.93E-04,,197.55,-2.27E-02,,321.00474,1.12E-02,,197.55,-6.88E-03,,197.55,-8.16E-04,,321.9967,1.75E-04,,321.9967,0.00E+00,,203.40278,0.00E+00,,203.4027758,0.00E+00,,501.16976,9.64E-03,,203.4027758,0.00E+00,,499.68813,1.39E-04,,501.16976,2.44E-02,,203.40278,0.00E+00
