LED Item ,M365L2-C1,,,M365LP1-C1,,,M385L2-C1,,,M385LP1-C1,,,M405L3-C1,,,M405LP1-C1,,,M455L3-C1,,,M470L3-C1,,,M505L3-C1,,,M530L3-C1,,,M590L3-C1,,,M617L3-C1,,,M625L3-C1,,,M660L4-C1,,,M730L4-C1,,,M780L3-C1,,,M810L3-C1,,,M850L3-C1,,,M940L3-C1,,,MCWHL5-C1,
Approximate Total Beam Power with Collimation Adapter for Olympus BX and IX Microscopes (mW),120,,,505,,,170,,,795,,,665,,,750,,,500,,,350,,,210,,,170,,,80,,,320,,,380,,,590,,,240,,,210,,,245,,,480,,,430,,,440,
Scaling Constant,1.23E+01,,,3.76E+01,,,1.35E+01,,,5.92E+01,,,2.90E+01,,,4.58E+01,,,2.08E+01,,,1.66E+01,,,5.49E+00,,,4.09E+00,,,5.38E+00,,,1.74E+01,,,1.98E+01,,,2.31E+01,,,5.82E+00,,,5.61E+00,,,6.73E+00,,,1.39E+01,,,5.87E+00,,,8.26E+00,
Spectra,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm),,Wavelength (nm),Spectral Flux (mW/nm)
,344.13661,4.44E-03,,244.7418135,-4.63E-03,,344.13661,0.00E+00,,244.7418135,0.00E+00,,245.04126,0.00E+00,,244.7418135,0.00E+00,,344.20684,1.98E-04,,239.01,3.44E-02,,344.13661,8.67E-03,,239.01,-3.31E-03,,239.01,4.78E-03,,344.20684,1.88E-04,,344.20684,1.67E-04,,244.74181,0.00E+00,,244.7418135,0.00E+00,,532.55216,1.73E-02,,244.7418135,0.00E+00,,531.3117,0.00E+00,,532.55216,2.16E-02,,244.74181,0.00E+00
,344.25025,0.00E+00,,244.94731,8.78E-03,,344.25025,8.92E-03,,244.94731,0.00E+00,,245.24766,0.00E+00,,244.94731,0.00E+00,,344.31686,1.88E-04,,239.21,-1.40E-03,,344.25025,5.87E-03,,239.21,2.63E-03,,239.21,3.38E-03,,344.31686,1.94E-04,,344.31686,1.69E-04,,244.94731,0.00E+00,,244.94731,0.00E+00,,532.70766,1.15E-02,,244.94731,0.00E+00,,531.46823,1.39E-04,,532.70766,2.30E-02,,244.94731,0.00E+00
,344.36388,2.89E-03,,245.1528244,4.11E-02,,344.36388,0.00E+00,,245.1528244,0.00E+00,,245.45408,0.00E+00,,245.1528244,0.00E+00,,344.42689,1.71E-04,,239.42,7.00E-03,,344.36388,0.00E+00,,239.42,-7.54E-03,,239.42,-8.16E-03,,344.42689,1.90E-04,,344.42689,1.61E-04,,245.15282,0.00E+00,,245.1528244,0.00E+00,,532.86316,1.65E-02,,245.1528244,0.00E+00,,531.62477,0.00E+00,,532.86316,2.19E-02,,245.15282,0.00E+00
,344.47751,0.00E+00,,245.3583568,-5.67E-02,,344.47751,1.62E-02,,245.3583568,0.00E+00,,245.66052,0.00E+00,,245.3583568,0.00E+00,,344.53692,1.83E-04,,239.62,-1.40E-03,,344.47751,7.46E-03,,239.62,-3.18E-03,,239.62,-4.84E-03,,344.53692,1.69E-04,,344.53692,1.71E-04,,245.35836,0.00E+00,,245.3583568,0.00E+00,,533.01867,8.07E-03,,245.3583568,0.00E+00,,531.78132,1.39E-04,,533.01867,2.34E-02,,245.35836,0.00E+00
,344.59114,0.00E+00,,245.563907,-5.49E-03,,344.59114,7.29E-03,,245.563907,0.00E+00,,245.86697,0.00E+00,,245.563907,0.00E+00,,344.64696,1.83E-04,,239.83,9.80E-03,,344.59114,6.03E-03,,239.83,-4.24E-03,,239.83,3.38E-03,,344.64696,1.56E-04,,344.64696,1.73E-04,,245.56391,0.00E+00,,245.563907,0.00E+00,,533.17419,1.98E-02,,245.563907,0.00E+00,,531.93787,0.00E+00,,533.17419,2.20E-02,,245.56391,0.00E+00
,344.70477,1.74E-03,,245.7694751,-3.74E-03,,344.70477,1.03E-02,,245.7694751,0.00E+00,,246.07344,0.00E+00,,245.7694751,0.00E+00,,344.757,2.02E-04,,240.04,1.48E-02,,344.70477,7.13E-03,,240.04,-8.59E-03,,240.04,-1.08E-02,,344.757,1.67E-04,,344.757,1.58E-04,,245.76948,0.00E+00,,245.7694751,0.00E+00,,533.32972,8.19E-03,,245.7694751,0.00E+00,,532.09443,0.00E+00,,533.32972,2.33E-02,,245.76948,0.00E+00
,344.81839,0.00E+00,,245.9750612,2.78E-03,,344.81839,0.00E+00,,245.9750612,0.00E+00,,246.27993,0.00E+00,,245.9750612,0.00E+00,,344.86706,1.87E-04,,240.24,4.23E-02,,344.81839,4.62E-03,,240.24,-9.52E-03,,240.24,-7.64E-03,,344.86706,1.87E-04,,344.86706,1.18E-04,,245.97506,0.00E+00,,245.9750612,0.00E+00,,533.48526,2.15E-02,,245.9750612,0.00E+00,,532.251,0.00E+00,,533.48526,2.21E-02,,245.97506,0.00E+00
,344.93201,6.17E-03,,246.1806651,-4.97E-03,,344.93201,8.92E-03,,246.1806651,0.00E+00,,246.48643,0.00E+00,,246.1806651,0.00E+00,,344.97711,1.89E-04,,240.45,1.43E-02,,344.93201,5.11E-03,,240.45,-6.71E-04,,240.45,-9.21E-03,,344.97711,1.84E-04,,344.97711,1.50E-04,,246.18067,0.00E+00,,246.1806651,0.00E+00,,533.64081,1.01E-02,,246.1806651,0.00E+00,,532.40757,1.39E-04,,533.64081,2.34E-02,,246.18067,0.00E+00
,345.04563,8.89E-04,,246.386287,-5.86E-03,,345.04563,0.00E+00,,246.386287,0.00E+00,,246.69295,0.00E+00,,246.386287,0.00E+00,,345.08718,1.69E-04,,240.65,8.40E-04,,345.04563,8.06E-03,,240.65,-4.50E-03,,240.65,-5.89E-03,,345.08718,1.82E-04,,345.08718,1.75E-04,,246.38629,0.00E+00,,246.386287,0.00E+00,,533.79636,1.63E-02,,246.386287,0.00E+00,,532.56415,0.00E+00,,533.79636,2.21E-02,,246.38629,0.00E+00
,345.15924,0.00E+00,,246.5919267,-1.87E-02,,345.15924,3.05E-03,,246.5919267,0.00E+00,,246.89949,0.00E+00,,246.5919267,0.00E+00,,345.19725,1.53E-04,,240.86,-2.52E-03,,345.15924,5.27E-03,,240.86,-6.08E-03,,240.86,-3.61E-03,,345.19725,1.83E-04,,345.19725,2.28E-04,,246.59193,0.00E+00,,246.5919267,0.00E+00,,533.95193,1.53E-02,,246.5919267,0.00E+00,,532.72074,1.39E-04,,533.95193,2.29E-02,,246.59193,0.00E+00
,345.27286,0.00E+00,,246.7975844,1.48E-02,,345.27286,0.00E+00,,246.7975844,0.00E+00,,247.10604,0.00E+00,,246.7975844,0.00E+00,,345.30732,1.42E-04,,241.07,2.10E-02,,345.27286,0.00E+00,,241.07,-7.27E-03,,241.07,-3.96E-03,,345.30732,1.83E-04,,345.30732,2.03E-04,,246.79758,0.00E+00,,246.7975844,0.00E+00,,534.1075,1.64E-02,,246.7975844,0.00E+00,,532.87733,3.71E-04,,534.1075,2.17E-02,,246.79758,0.00E+00
,345.38646,0.00E+00,,247.0032599,-1.97E-02,,345.38646,7.04E-04,,247.0032599,0.00E+00,,247.31261,0.00E+00,,247.0032599,0.00E+00,,345.4174,1.42E-04,,241.27,-2.49E-02,,345.38646,1.06E-02,,241.27,4.21E-03,,241.27,-4.49E-03,,345.4174,1.85E-04,,345.4174,1.90E-04,,247.00326,0.00E+00,,247.0032599,0.00E+00,,534.26308,2.06E-02,,247.0032599,0.00E+00,,533.03394,1.39E-04,,534.26308,2.27E-02,,247.00326,0.00E+00
,345.50007,0.00E+00,,247.2089533,1.13E-02,,345.50007,8.23E-03,,247.2089533,0.00E+00,,247.51919,0.00E+00,,247.2089533,0.00E+00,,345.52749,1.54E-04,,241.48,-4.20E-03,,345.50007,9.00E-03,,241.48,-5.16E-03,,241.48,1.11E-03,,345.52749,1.58E-04,,345.52749,1.67E-04,,247.20895,0.00E+00,,247.2089533,0.00E+00,,534.41867,1.04E-02,,247.2089533,0.00E+00,,533.19055,0.00E+00,,534.41867,2.20E-02,,247.20895,0.00E+00
,345.61367,0.00E+00,,247.4146646,3.22E-03,,345.61367,5.40E-03,,247.4146646,0.00E+00,,247.72579,0.00E+00,,247.4146646,0.00E+00,,345.63758,1.84E-04,,241.69,-2.16E-02,,345.61367,2.78E-03,,241.69,-9.12E-03,,241.69,-5.01E-03,,345.63758,1.72E-04,,345.63758,1.58E-04,,247.41466,0.00E+00,,247.4146646,0.00E+00,,534.57427,1.44E-02,,247.4146646,0.00E+00,,533.34717,4.17E-04,,534.57427,2.29E-02,,247.41466,0.00E+00
,345.72728,1.11E-03,,247.6203937,2.79E-02,,345.72728,0.00E+00,,247.6203937,0.00E+00,,247.93241,0.00E+00,,247.6203937,0.00E+00,,345.74768,1.91E-04,,241.89,3.08E-03,,345.72728,1.19E-03,,241.89,6.72E-03,,241.89,-6.94E-03,,345.74768,1.80E-04,,345.74768,1.54E-04,,247.62039,0.00E+00,,247.6203937,0.00E+00,,534.72988,2.76E-03,,247.6203937,0.00E+00,,533.50379,3.71E-04,,534.72988,2.19E-02,,247.62039,0.00E+00
,345.84087,6.29E-04,,247.8261408,-1.95E-02,,345.84087,9.39E-03,,247.8261408,0.00E+00,,248.13904,0.00E+00,,247.8261408,0.00E+00,,345.85779,1.92E-04,,242.1,-2.10E-02,,345.84087,5.60E-03,,242.1,-9.52E-03,,242.1,-3.61E-03,,345.85779,2.02E-04,,345.85779,1.54E-04,,247.82614,0.00E+00,,247.8261408,0.00E+00,,534.88549,1.00E-02,,247.8261408,0.00E+00,,533.66042,4.17E-04,,534.88549,2.34E-02,,247.82614,0.00E+00
,345.95447,2.89E-03,,248.0319057,-4.55E-03,,345.95447,0.00E+00,,248.0319057,0.00E+00,,248.34569,0.00E+00,,248.0319057,0.00E+00,,345.9679,1.64E-04,,242.3,-5.88E-03,,345.95447,1.01E-02,,242.3,-9.35E-04,,242.3,6.70E-03,,345.9679,2.04E-04,,345.9679,1.46E-04,,248.03191,0.00E+00,,248.0319057,0.00E+00,,535.04112,1.28E-02,,248.0319057,0.00E+00,,533.81706,9.28E-05,,535.04112,2.23E-02,,248.03191,0.00E+00
,346.06806,3.07E-03,,248.2376884,-2.09E-02,,346.06806,9.39E-03,,248.2376884,0.00E+00,,248.55236,0.00E+00,,248.2376884,0.00E+00,,346.07801,1.52E-04,,242.51,2.10E-02,,346.06806,5.42E-03,,242.51,-5.39E-04,,242.51,-9.91E-03,,346.07801,1.88E-04,,346.07801,1.82E-04,,248.23769,0.00E+00,,248.2376884,0.00E+00,,535.19675,4.53E-03,,248.2376884,0.00E+00,,533.97371,4.17E-04,,535.19675,2.34E-02,,248.23769,0.00E+00
,346.18165,0.00E+00,,248.443489,-6.72E-03,,346.18165,4.00E-03,,248.443489,0.00E+00,,248.75904,0.00E+00,,248.443489,0.00E+00,,346.18813,1.38E-04,,242.72,-2.80E-04,,346.18165,3.22E-03,,242.72,-6.71E-04,,242.72,-6.76E-03,,346.18813,1.76E-04,,346.18813,1.69E-04,,248.44349,0.00E+00,,248.443489,0.00E+00,,535.35239,1.21E-02,,248.443489,0.00E+00,,534.13036,9.28E-05,,535.35239,2.20E-02,,248.44349,0.00E+00
,346.29524,0.00E+00,,248.6493075,-1.06E-02,,346.29524,9.39E-04,,248.6493075,0.00E+00,,248.96574,0.00E+00,,248.6493075,0.00E+00,,346.29826,1.71E-04,,242.92,-3.44E-02,,346.29524,2.01E-02,,242.92,-3.97E-03,,242.92,-1.17E-02,,346.29826,1.67E-04,,346.29826,1.90E-04,,248.64931,0.00E+00,,248.6493075,0.00E+00,,535.50804,1.21E-02,,248.6493075,0.00E+00,,534.28702,0.00E+00,,535.50804,2.32E-02,,248.64931,0.00E+00
,346.40882,0.00E+00,,248.8551438,1.01E-02,,346.40882,0.00E+00,,248.8551438,0.00E+00,,249.17246,0.00E+00,,248.8551438,0.00E+00,,346.4084,1.75E-04,,243.13,1.54E-02,,346.40882,8.06E-03,,243.13,1.97E-03,,243.13,3.38E-03,,346.4084,1.58E-04,,346.4084,1.44E-04,,248.85514,0.00E+00,,248.8551438,0.00E+00,,535.6637,1.79E-02,,248.8551438,0.00E+00,,534.44369,9.28E-05,,535.6637,2.21E-02,,248.85514,0.00E+00
,346.52241,0.00E+00,,249.060998,-8.50E-03,,346.52241,4.69E-03,,249.060998,0.00E+00,,249.37919,0.00E+00,,249.060998,0.00E+00,,346.51854,1.99E-04,,243.34,-2.83E-02,,346.52241,1.14E-02,,243.34,-1.64E-02,,243.34,-7.11E-03,,346.51854,1.50E-04,,346.51854,1.67E-04,,249.061,0.00E+00,,249.060998,0.00E+00,,535.81937,1.21E-02,,249.060998,0.00E+00,,534.60036,1.39E-04,,535.81937,2.33E-02,,249.061,0.00E+00
,346.63599,2.22E-04,,249.26687,-2.88E-03,,346.63599,0.00E+00,,249.26687,0.00E+00,,249.58594,0.00E+00,,249.26687,0.00E+00,,346.62868,1.76E-04,,243.54,4.76E-03,,346.63599,2.28E-03,,243.54,-4.76E-03,,243.54,6.53E-03,,346.62868,1.41E-04,,346.62868,1.54E-04,,249.26687,0.00E+00,,249.26687,0.00E+00,,535.97505,1.39E-02,,249.26687,0.00E+00,,534.75705,9.28E-05,,535.97505,2.23E-02,,249.26687,0.00E+00
,346.74956,0.00E+00,,249.4727599,-5.16E-02,,346.74956,0.00E+00,,249.4727599,0.00E+00,,249.7927,0.00E+00,,249.4727599,0.00E+00,,346.73883,1.86E-04,,243.75,7.56E-03,,346.74956,1.15E-02,,243.75,-7.67E-03,,243.75,3.56E-03,,346.73883,1.45E-04,,346.73883,1.46E-04,,249.47276,0.00E+00,,249.4727599,0.00E+00,,536.13073,1.25E-02,,249.4727599,0.00E+00,,534.91373,1.39E-04,,536.13073,2.32E-02,,249.47276,0.00E+00
,346.86314,7.78E-03,,249.6786675,-1.43E-02,,346.86314,0.00E+00,,249.6786675,0.00E+00,,249.99948,0.00E+00,,249.6786675,0.00E+00,,346.84899,1.65E-04,,243.96,-1.54E-02,,346.86314,1.51E-03,,243.96,1.71E-03,,243.96,-6.59E-03,,346.84899,1.60E-04,,346.84899,1.40E-04,,249.67867,0.00E+00,,249.6786675,0.00E+00,,536.28642,1.16E-02,,249.6786675,0.00E+00,,535.07043,9.28E-05,,536.28642,2.17E-02,,249.67867,0.00E+00
,346.97671,0.00E+00,,249.8845931,-1.21E-02,,346.97671,1.76E-02,,249.8845931,0.00E+00,,250.20628,0.00E+00,,249.8845931,0.00E+00,,346.95915,1.71E-04,,244.16,-3.55E-02,,346.97671,0.00E+00,,244.16,-5.69E-03,,244.16,-1.34E-02,,346.95915,1.65E-04,,346.95915,9.72E-05,,249.88459,0.00E+00,,249.8845931,0.00E+00,,536.44213,1.08E-02,,249.8845931,0.00E+00,,535.22713,1.39E-04,,536.44213,2.26E-02,,249.88459,0.00E+00
,347.09028,0.00E+00,,250.0905364,2.95E-03,,347.09028,0.00E+00,,250.0905364,0.00E+00,,250.4131,0.00E+00,,250.0905364,0.00E+00,,347.06932,1.59E-04,,244.37,7.00E-03,,347.09028,1.31E-02,,244.37,2.89E-03,,244.37,-8.69E-03,,347.06932,1.73E-04,,347.06932,1.23E-04,,250.09054,0.00E+00,,250.0905364,0.00E+00,,536.59784,1.98E-02,,250.0905364,0.00E+00,,535.38385,0.00E+00,,536.59784,2.11E-02,,250.09054,0.00E+00
,347.20384,1.07E-03,,250.2964976,-3.26E-03,,347.20384,2.35E-03,,250.2964976,0.00E+00,,250.61993,0.00E+00,,250.2964976,0.00E+00,,347.1795,1.66E-04,,244.58,3.27E-02,,347.20384,8.56E-03,,244.58,-8.59E-03,,244.58,-2.04E-03,,347.1795,1.84E-04,,347.1795,1.06E-04,,250.2965,0.00E+00,,250.2964976,0.00E+00,,536.75356,1.73E-02,,250.2964976,0.00E+00,,535.54056,0.00E+00,,536.75356,2.25E-02,,250.2965,0.00E+00
,347.31741,0.00E+00,,250.5024765,-2.33E-03,,347.31741,0.00E+00,,250.5024765,0.00E+00,,250.82677,0.00E+00,,250.5024765,0.00E+00,,347.28968,1.61E-04,,244.78,4.84E-02,,347.31741,3.37E-03,,244.78,-4.76E-03,,244.78,2.86E-03,,347.28968,1.87E-04,,347.28968,1.40E-04,,250.50248,0.00E+00,,250.5024765,0.00E+00,,536.90928,1.58E-02,,250.5024765,0.00E+00,,535.69729,9.28E-05,,536.90928,2.16E-02,,250.50248,0.00E+00
,347.43097,1.08E-02,,250.7084733,-2.44E-02,,347.43097,2.11E-03,,250.7084733,0.00E+00,,251.03364,0.00E+00,,250.7084733,0.00E+00,,347.39987,1.83E-04,,244.99,-1.76E-02,,347.43097,5.87E-03,,244.99,-1.28E-02,,244.99,-2.74E-03,,347.39987,1.82E-04,,347.39987,1.23E-04,,250.70847,0.00E+00,,250.7084733,0.00E+00,,537.06502,1.30E-02,,250.7084733,0.00E+00,,535.85402,1.39E-04,,537.06502,2.30E-02,,250.70847,0.00E+00
,347.54453,0.00E+00,,250.9144879,6.46E-03,,347.54453,0.00E+00,,250.9144879,0.00E+00,,251.24052,0.00E+00,,250.9144879,0.00E+00,,347.51006,1.81E-04,,245.19,1.93E-02,,347.54453,0.00E+00,,245.19,-2.39E-03,,245.19,3.56E-03,,347.51006,1.55E-04,,347.51006,1.40E-04,,250.91449,0.00E+00,,250.9144879,0.00E+00,,537.22076,1.69E-02,,250.9144879,0.00E+00,,536.01076,9.28E-05,,537.22076,2.17E-02,,250.91449,0.00E+00
,347.65808,0.00E+00,,251.1205203,1.54E-02,,347.65808,1.17E-03,,251.1205203,0.00E+00,,251.44741,0.00E+00,,251.1205203,0.00E+00,,347.62026,1.99E-04,,245.4,1.09E-02,,347.65808,6.97E-03,,245.4,-2.78E-03,,245.4,-1.32E-02,,347.62026,1.64E-04,,347.62026,1.67E-04,,251.12052,0.00E+00,,251.1205203,0.00E+00,,537.37652,1.07E-02,,251.1205203,0.00E+00,,536.16751,4.17E-04,,537.37652,2.24E-02,,251.12052,0.00E+00
,347.77163,0.00E+00,,251.3265706,-2.44E-02,,347.77163,2.59E-03,,251.3265706,0.00E+00,,251.65432,0.00E+00,,251.3265706,0.00E+00,,347.73046,1.84E-04,,245.61,-1.76E-02,,347.77163,5.24E-03,,245.61,-6.48E-03,,245.61,-1.59E-02,,347.73046,1.66E-04,,347.73046,1.56E-04,,251.32657,0.00E+00,,251.3265706,0.00E+00,,537.53228,1.60E-02,,251.3265706,0.00E+00,,536.32426,9.28E-05,,537.53228,2.11E-02,,251.32657,0.00E+00
,347.88518,0.00E+00,,251.5326386,-5.23E-03,,347.88518,9.39E-04,,251.5326386,0.00E+00,,251.86125,0.00E+00,,251.5326386,0.00E+00,,347.84067,1.81E-04,,245.81,-2.66E-02,,347.88518,4.49E-03,,245.81,-5.69E-03,,245.81,-1.71E-02,,347.84067,1.95E-04,,347.84067,1.31E-04,,251.53264,0.00E+00,,251.5326386,0.00E+00,,537.68805,1.16E-02,,251.5326386,0.00E+00,,536.48102,1.39E-04,,537.68805,2.20E-02,,251.53264,0.00E+00
,347.99873,1.00E-02,,251.7387244,3.07E-02,,347.99873,4.00E-03,,251.7387244,0.00E+00,,252.0682,0.00E+00,,251.7387244,0.00E+00,,347.95089,1.73E-04,,246.02,-8.12E-03,,347.99873,6.47E-03,,246.02,-6.61E-03,,246.02,-2.91E-03,,347.95089,1.91E-04,,347.95089,1.61E-04,,251.73872,0.00E+00,,251.7387244,0.00E+00,,537.84383,2.26E-02,,251.7387244,0.00E+00,,536.63779,0.00E+00,,537.84383,2.10E-02,,251.73872,0.00E+00
,348.11228,4.62E-03,,251.944828,-2.15E-02,,348.11228,1.24E-02,,251.944828,0.00E+00,,252.27516,0.00E+00,,251.944828,0.00E+00,,348.06111,2.11E-04,,246.23,1.15E-02,,348.11228,1.04E-02,,246.23,3.16E-03,,246.23,4.08E-04,,348.06111,1.81E-04,,348.06111,1.99E-04,,251.94483,0.00E+00,,251.944828,0.00E+00,,537.99962,9.76E-03,,251.944828,0.00E+00,,536.79457,4.17E-04,,537.99962,2.19E-02,,251.94483,0.00E+00
,348.22582,0.00E+00,,252.1509494,2.79E-02,,348.22582,8.00E-03,,252.1509494,0.00E+00,,252.48213,0.00E+00,,252.1509494,0.00E+00,,348.17134,2.20E-04,,246.43,7.00E-03,,348.22582,6.31E-03,,246.43,-1.60E-03,,246.43,-3.26E-03,,348.17134,1.61E-04,,348.17134,2.14E-04,,252.15095,0.00E+00,,252.1509494,0.00E+00,,538.15541,1.90E-02,,252.1509494,0.00E+00,,536.95135,0.00E+00,,538.15541,2.09E-02,,252.15095,0.00E+00
,348.33936,0.00E+00,,252.3570885,7.10E-03,,348.33936,0.00E+00,,252.3570885,0.00E+00,,252.68913,0.00E+00,,252.3570885,0.00E+00,,348.28157,2.20E-04,,246.64,-7.56E-03,,348.33936,3.09E-03,,246.64,-1.26E-02,,246.64,-7.81E-03,,348.28157,1.56E-04,,348.28157,1.67E-04,,252.35709,0.00E+00,,252.3570885,0.00E+00,,538.31122,3.55E-03,,252.3570885,0.00E+00,,537.10814,4.17E-04,,538.31122,2.23E-02,,252.35709,0.00E+00
,348.4529,0.00E+00,,252.5632455,2.10E-02,,348.4529,4.47E-03,,252.5632455,0.00E+00,,252.89614,0.00E+00,,252.5632455,0.00E+00,,348.39181,1.85E-04,,246.85,-2.27E-02,,348.4529,0.00E+00,,246.85,-4.07E-04,,246.85,5.48E-03,,348.39181,1.58E-04,,348.39181,1.40E-04,,252.56325,0.00E+00,,252.5632455,0.00E+00,,538.46703,1.90E-02,,252.5632455,0.00E+00,,537.26493,9.28E-05,,538.46703,2.13E-02,,252.56325,0.00E+00
,348.56643,0.00E+00,,252.7694202,-5.46E-03,,348.56643,9.39E-04,,252.7694202,0.00E+00,,253.10316,0.00E+00,,252.7694202,0.00E+00,,348.50205,1.78E-04,,247.05,-4.84E-02,,348.56643,4.33E-03,,247.05,-1.51E-02,,247.05,-2.16E-02,,348.50205,1.63E-04,,348.50205,1.25E-04,,252.76942,0.00E+00,,252.7694202,0.00E+00,,538.62285,6.90E-03,,252.7694202,0.00E+00,,537.42174,4.17E-04,,538.62285,2.20E-02,,252.76942,0.00E+00
,348.67996,0.00E+00,,252.9756127,2.33E-02,,348.67996,0.00E+00,,252.9756127,0.00E+00,,253.31021,0.00E+00,,252.9756127,0.00E+00,,348.6123,1.70E-04,,247.26,9.24E-03,,348.67996,0.00E+00,,247.26,-1.04E-02,,247.26,7.05E-03,,348.6123,1.54E-04,,348.6123,1.14E-04,,252.97561,0.00E+00,,252.9756127,0.00E+00,,538.77868,2.37E-02,,252.9756127,0.00E+00,,537.57855,3.71E-04,,538.77868,2.06E-02,,252.97561,0.00E+00
,348.79349,7.06E-03,,253.1818229,6.42E-03,,348.79349,0.00E+00,,253.1818229,0.00E+00,,253.51727,0.00E+00,,253.1818229,0.00E+00,,348.72256,1.78E-04,,247.47,-1.71E-02,,348.79349,9.93E-03,,247.47,-6.74E-03,,247.47,-9.91E-04,,348.72256,1.50E-04,,348.72256,1.03E-04,,253.18182,0.00E+00,,253.1818229,0.00E+00,,538.93452,9.36E-03,,253.1818229,0.00E+00,,537.73537,1.39E-04,,538.93452,2.18E-02,,253.18182,0.00E+00
,348.90702,0.00E+00,,253.388051,-1.04E-02,,348.90702,3.76E-03,,253.388051,0.00E+00,,253.72434,0.00E+00,,253.388051,0.00E+00,,348.83282,1.89E-04,,247.67,-8.68E-03,,348.90702,6.64E-03,,247.67,-1.07E-03,,247.67,-3.79E-03,,348.83282,1.56E-04,,348.83282,1.58E-04,,253.38805,0.00E+00,,253.388051,0.00E+00,,539.09037,1.94E-02,,253.388051,0.00E+00,,537.89219,3.71E-04,,539.09037,2.13E-02,,253.38805,0.00E+00
,349.02054,0.00E+00,,253.5942967,-2.08E-02,,349.02054,7.74E-03,,253.5942967,0.00E+00,,253.93143,0.00E+00,,253.5942967,0.00E+00,,348.94309,1.72E-04,,247.88,-8.12E-03,,349.02054,0.00E+00,,247.88,-1.46E-03,,247.88,5.83E-05,,348.94309,1.69E-04,,348.94309,1.20E-04,,253.5943,0.00E+00,,253.5942967,0.00E+00,,539.24622,1.39E-02,,253.5942967,0.00E+00,,538.04903,4.17E-04,,539.24622,2.20E-02,,253.5943,0.00E+00
,349.13406,3.78E-03,,253.8005603,2.60E-02,,349.13406,6.12E-03,,253.8005603,0.00E+00,,254.13854,0.00E+00,,253.8005603,0.00E+00,,349.05337,1.53E-04,,248.09,1.15E-02,,349.13406,5.54E-03,,248.09,-1.10E-05,,248.09,3.21E-03,,349.05337,1.64E-04,,349.05337,1.37E-04,,253.80056,0.00E+00,,253.8005603,0.00E+00,,539.40209,2.26E-02,,253.8005603,0.00E+00,,538.20587,0.00E+00,,539.40209,2.11E-02,,253.80056,0.00E+00
,349.24758,0.00E+00,,254.0068415,-1.55E-02,,349.24758,5.63E-03,,254.0068415,0.00E+00,,254.34567,0.00E+00,,254.0068415,0.00E+00,,349.16365,1.45E-04,,248.3,7.00E-03,,349.24758,1.84E-03,,248.3,-1.43E-04,,248.3,-9.39E-03,,349.16365,1.67E-04,,349.16365,1.50E-04,,254.00684,0.00E+00,,254.0068415,0.00E+00,,539.55796,1.22E-02,,254.0068415,0.00E+00,,538.36271,1.39E-04,,539.55796,2.21E-02,,254.00684,0.00E+00
,349.3611,1.78E-03,,254.2131406,2.86E-02,,349.3611,0.00E+00,,254.2131406,0.00E+00,,254.55281,0.00E+00,,254.2131406,0.00E+00,,349.27393,1.59E-04,,248.5,7.56E-03,,349.3611,0.00E+00,,248.5,-2.52E-03,,248.5,1.07E-02,,349.27393,1.66E-04,,349.27393,1.92E-04,,254.21314,0.00E+00,,254.2131406,0.00E+00,,539.71384,1.46E-02,,254.2131406,0.00E+00,,538.51957,9.28E-05,,539.71384,2.13E-02,,254.21314,0.00E+00
,349.47461,1.31E-02,,254.4194573,-2.73E-03,,349.47461,8.68E-03,,254.4194573,0.00E+00,,254.75996,0.00E+00,,254.4194573,0.00E+00,,349.38423,1.69E-04,,248.71,-2.10E-02,,349.47461,5.42E-03,,248.71,-2.39E-03,,248.71,-1.04E-02,,349.38423,1.78E-04,,349.38423,2.05E-04,,254.41946,0.00E+00,,254.4194573,0.00E+00,,539.86973,8.07E-03,,254.4194573,0.00E+00,,538.67643,1.39E-04,,539.86973,2.23E-02,,254.41946,0.00E+00
,349.58813,0.00E+00,,254.6257919,-4.02E-02,,349.58813,0.00E+00,,254.6257919,0.00E+00,,254.96714,0.00E+00,,254.6257919,0.00E+00,,349.49452,1.70E-04,,248.92,4.79E-02,,349.58813,0.00E+00,,248.92,2.23E-03,,248.92,2.33E-03,,349.49452,1.67E-04,,349.49452,1.20E-04,,254.62579,0.00E+00,,254.6257919,0.00E+00,,540.02563,1.55E-02,,254.6257919,0.00E+00,,538.8333,9.28E-05,,540.02563,2.11E-02,,254.62579,0.00E+00
