#
#Theoretical Design Spectrum of Advanced Thin Films MI1050-SBB Mirror
#Data format  Wavelength (nm) tab Reflection (0 to 1)
300.0	0.2564
300.2	0.25716
300.4	0.25792
300.6	0.25869
300.8	0.25945
301.0	0.26021
301.2	0.23048
301.4	0.20074
301.6	0.171
301.8	0.14127
302.0	0.11153
302.2	0.17924
302.4	0.24694
302.6	0.31465
302.8	0.38235
303.0	0.45005
303.2	0.40666
303.4	0.36327
303.6	0.31988
303.8	0.27649
304.0	0.2331
304.2	0.26358
304.4	0.29406
304.6	0.32454
304.8	0.35502
305.0	0.38549
305.2	0.42683
305.4	0.46817
305.6	0.5095
305.8	0.55084
306.0	0.59218
306.2	0.50161
306.4	0.41104
306.6	0.32047
306.8	0.2299
307.0	0.13933
307.2	0.24376
307.4	0.34818
307.6	0.4526
307.8	0.55702
308.0	0.66145
308.2	0.64795
308.4	0.63444
308.6	0.62094
308.8	0.60744
309.0	0.59394
309.2	0.55754
309.4	0.52115
309.6	0.48475
309.8	0.44835
310.0	0.41196
310.2	0.48659
310.4	0.56123
310.6	0.63587
310.8	0.71051
311.0	0.78514
311.2	0.66373
311.4	0.54231
311.6	0.42089
311.8	0.29948
312.0	0.17806
312.2	0.30323
312.4	0.42839
312.6	0.55356
312.8	0.67873
313.0	0.80389
313.2	0.79823
313.4	0.79257
313.6	0.78691
313.8	0.78124
314.0	0.77558
314.2	0.76232
314.4	0.74907
314.6	0.73582
314.8	0.72256
315.0	0.70931
315.2	0.74959
315.4	0.78986
315.6	0.83014
315.8	0.87042
316.0	0.91069
316.2	0.79045
316.4	0.67021
316.6	0.54997
316.8	0.42973
317.0	0.30949
317.2	0.4359
317.4	0.56232
317.6	0.68874
317.8	0.81516
318.0	0.94158
318.2	0.92744
318.4	0.91331
318.6	0.89917
318.8	0.88503
319.0	0.87089
319.2	0.87804
319.4	0.88519
319.6	0.89235
319.8	0.8995
320.0	0.90665
320.2	0.91861
320.4	0.93057
320.6	0.94253
320.8	0.95449
321.0	0.96645
321.2	0.93641
321.4	0.90637
321.6	0.87633
321.8	0.84629
322.0	0.81625
322.2	0.84951
322.4	0.88277
322.6	0.91602
322.8	0.94928
323.0	0.98254
323.2	0.95964
323.4	0.93675
323.6	0.91385
323.8	0.89096
324.0	0.86806
324.2	0.89254
324.4	0.91701
324.6	0.94148
324.8	0.96595
325.0	0.99042
325.2	0.98767
325.4	0.98491
325.6	0.98216
325.8	0.9794
326.0	0.97665
326.2	0.9791
326.4	0.98155
326.6	0.984
326.8	0.98646
327.0	0.98891
327.2	0.99015
327.4	0.99138
327.6	0.99262
327.8	0.99385
328.0	0.99509
328.2	0.99426
328.4	0.99343
328.6	0.99261
328.8	0.99178
329.0	0.99095
329.2	0.99228
329.4	0.99361
329.6	0.99494
329.8	0.99627
330.0	0.99759
330.2	0.97533
330.4	0.95307
330.6	0.93081
330.8	0.90855
331.0	0.88629
331.2	0.90882
331.4	0.93136
331.6	0.95389
331.8	0.97642
332.0	0.99895
332.2	0.89786
332.4	0.79677
332.6	0.69568
332.8	0.59459
333.0	0.4935
333.2	0.59467
333.4	0.69583
333.6	0.797
333.8	0.89816
334.0	0.99933
334.2	0.99893
334.4	0.99854
334.6	0.99814
334.8	0.99775
335.0	0.99735
335.2	0.9978
335.4	0.99825
335.6	0.9987
335.8	0.99915
336.0	0.9996
336.2	0.99946
336.4	0.99933
336.6	0.99919
336.8	0.99905
337.0	0.99891
337.2	0.99907
337.4	0.99923
337.6	0.9994
337.8	0.99956
338.0	0.99972
338.2	0.99971
338.4	0.9997
338.6	0.99968
338.8	0.99967
339.0	0.99966
339.2	0.99969
339.4	0.99973
339.6	0.99976
339.8	0.99979
340.0	0.99983
340.2	0.99982
340.4	0.99981
340.6	0.9998
340.8	0.99979
341.0	0.99978
341.2	0.9998
341.4	0.99982
341.6	0.99983
341.8	0.99985
342.0	0.99987
342.2	0.99987
342.4	0.99988
342.6	0.99988
342.8	0.99988
343.0	0.99988
343.2	0.99989
343.4	0.99989
343.6	0.9999
343.8	0.9999
344.0	0.99991
344.2	0.99991
344.4	0.99991
344.6	0.99991
344.8	0.99991
345.0	0.99991
345.2	0.99991
345.4	0.99992
345.6	0.99992
345.8	0.99993
346.0	0.99993
346.2	0.99993
346.4	0.99993
346.6	0.99994
346.8	0.99994
347.0	0.99994
347.2	0.99994
347.4	0.99994
347.6	0.99994
347.8	0.99995
348.0	0.99995
348.2	0.99995
348.4	0.99995
348.6	0.99995
348.8	0.99995
349.0	0.99995
349.2	0.99995
349.4	0.99995
349.6	0.99996
349.8	0.99996
350.0	0.99996
350.2	0.99996
350.4	0.99996
350.6	0.99996
350.8	0.99996
351.0	0.99996
351.2	0.99996
351.4	0.99996
351.6	0.99997
351.8	0.99997
352.0	0.99997
352.2	0.99997
352.4	0.99997
352.6	0.99997
352.8	0.99997
353.0	0.99997
353.2	0.99997
353.4	0.99997
353.6	0.99997
353.8	0.99997
354.0	0.99998
354.2	0.99996
354.4	0.99995
354.6	0.99994
354.8	0.99993
355.0	0.99992
355.2	0.99993
355.4	0.99994
355.6	0.99996
355.8	0.99997
356.0	0.99998
356.2	0.99997
356.4	0.99996
356.6	0.99995
356.8	0.99994
357.0	0.99993
357.2	0.99994
357.4	0.99995
357.6	0.99996
357.8	0.99997
358.0	0.99998
358.2	0.99998
358.4	0.99998
358.6	0.99998
358.8	0.99998
359.0	0.99998
359.2	0.99998
359.4	0.99999
359.6	0.99999
359.8	0.99999
360.0	0.99999
360.2	0.99999
360.4	0.99999
360.6	0.99999
