#L. nm	Avg. J	Min. J	Max. J	Std. Dev.. %
710.0	1.957	0.6374	3.000	21.90
730.0	2.378	0.7366	3.000	19.76
750.0	2.523	0.8933	3.000	18.84
770.0	2.590	0.9043	3.000	17.98
790.0	2.657	0.9421	3.000	17.31
810.0	2.630	0.8226	3.000	17.68
830.0	2.606	0.9121	3.000	17.69
850.0	2.616	0.9977	3.000	17.46
870.0	2.619	0.9471	3.000	17.50
890.0	2.530	0.9563	3.000	17.82
910.0	2.457	0.8965	3.000	17.74
930.0	2.455	0.9494	3.000	17.57
950.0	2.344	0.9178	3.000	17.48
970.0	2.277	0.8652	2.904	17.59
990.0	2.208	0.8384	2.812	17.51
1000	2.208	0.8553	2.810	17.44
1050	2.018	0.7372	2.520	17.48
1100	1.829	0.7228	2.332	17.46
1150	1.647	0.6548	2.074	17.60
1200	1.490	0.5889	1.860	17.50
1250	1.312	0.5120	1.633	17.66
1300	1.230	0.4514	1.535	17.61
1350	1.040	0.4012	1.292	17.69
1400	0.6620	0.2531	0.8311	17.76
1450	0.8874	0.3479	1.103	17.78
1500	0.8533	0.3303	1.076	17.55
1550	0.7999	0.2907	1.004	17.71
1600	0.7369	0.2747	0.9531	17.88
1650	0.6957	0.2481	0.8702	17.79
1700	0.6393	0.2348	0.8000	17.70
1750	0.5817	0.2133	0.7620	17.90
1800	0.5480	0.2099	0.7015	17.78
1850	0.5046	0.1907	0.6278	17.98
1900	0.4395	0.1744	0.5653	17.95
1950	0.4146	0.1632	0.5800	17.85
2000	0.3811	0.1490	0.4900	18.11
2050	0.3220	0.1231	0.4145	18.05
2100	0.2963	0.1064	0.3921	18.20
2150	0.2258	0.08125	0.3030	18.37
2200	0.02899	0.009155	0.04189	20.39
2250	0.01774	0.006638	0.02792	21.01
2300	0.03108	0.01076	0.04646	20.33
2350	0.02592	0.008469	0.03845	20.75
2400	0.02425	0.008011	0.03708	21.35
2450	0.04855	0.01648	0.06546	19.55
2500	0.01795	0.005722	0.03639	21.23
2550	0.007425	0.003662	0.01396	20.20
2600	0.006851	0.002747	0.01419	20.27
