#L. nm	Avg. J	Min. J	Max. J	Std. Dev.. %
405.0	9.766	7.370	12.11	6.448
415.0	11.30	8.972	12.61	3.969
425.0	11.66	6.798	12.86	3.426
435.0	11.78	10.05	13.05	3.094
445.0	11.26	8.927	12.52	3.228
455.0	10.99	9.087	12.15	3.249
465.0	10.85	9.155	11.86	3.092
475.0	10.62	9.178	11.63	3.131
485.0	10.42	8.721	11.42	3.238
495.0	10.15	8.331	11.31	3.280
505.0	9.913	8.286	11.10	3.359
515.0	9.326	7.462	10.44	3.477
525.0	9.320	8.034	10.55	3.275
535.0	8.984	7.347	10.23	3.749
545.0	8.707	6.661	9.842	3.750
555.0	8.373	6.615	9.430	3.788
565.0	7.991	5.928	9.018	4.048
575.0	7.524	6.249	8.698	4.343
585.0	7.047	5.928	8.286	4.750
595.0	6.715	5.928	7.919	4.871
605.0	6.351	5.928	7.416	4.181
615.0	6.238	5.928	7.324	3.608
625.0	6.124	5.928	7.118	2.711
635.0	4.926	1.740	6.775	16.92
645.0	4.783	1.534	6.180	16.18
655.0	4.325	1.671	5.791	16.60
665.0	4.084	1.579	5.608	16.80
675.0	3.823	0.2289	5.516	17.29
685.0	3.438	1.213	4.898	17.73
695.0	3.116	1.007	4.990	18.80
705.0	2.785	0.7324	4.669	20.02
709.0	2.728	0.8927	4.211	19.99
